id,n_numbers,range,std,count_small,count_large,count_duplicates,count_even,count_odd,count_div_2,count_div_3,count_div_5,count_div_7,count_primes,distance_simple,distance_max,distance_avg,easy_pairs,log_target,expr_depth,count_add,count_sub,count_mul,count_div,noncomm_ops,numbers,target,solution
508,3,23,11.789826122551595,0,3,0,2,1,2,1,0,0,0,116,16,26.0,0,1.9867717342662448,2,1,1,0,0,1,"[58, 74, 81]",97,((74 - 58) + 81)
509,4,38,16.879474715365603,1,0,0,1,3,1,1,1,0,3,21,9,33.75,0,1.7160033436347992,2,1,0,1,1,1,"[43, 5, 13, 12]",52,((43 + 5) * (13 / 12))
510,3,53,28.571547618799602,0,1,0,1,2,1,0,0,0,2,132,66,33.333333333333336,0,1.2041199826559248,2,1,1,0,0,1,"[37, 82, 29]",16,(82 - (37 + 29))
511,4,83,34.24787098005753,0,2,0,1,3,1,1,1,1,1,123,1,39.75,1,1.9731278535996986,3,1,1,0,1,2,"[61, 12, 95, 49]",94,((12 / (49 - 61)) + 95)
512,3,97,52.65295180076169,1,2,0,1,2,1,0,1,1,0,172,86,49.333333333333336,2,1.0791812460476249,2,1,1,0,0,1,"[1, 85, 98]",12,(98 - (1 + 85))
513,3,80,43.58898943540674,1,2,0,0,3,0,1,0,2,1,95,11,19.0,1,1.8808135922807914,2,0,1,0,1,2,"[7, 87, 77]",76,(87 - (77 / 7))
514,3,62,35.7957166897568,0,2,1,3,0,3,1,0,0,0,173,63,42.33333333333333,3,1.3617278360175928,2,0,1,0,1,2,"[24, 86, 86]",23,(24 - (86 / 86))
515,4,75,34.161381705077446,1,1,0,2,2,2,0,0,1,2,8,21,71.5,2,1.9912260756924949,2,1,1,1,0,1,"[2, 77, 16, 11]",98,((2 * 16) + (77 - 11))
516,3,93,49.52103929981007,1,2,0,2,1,2,1,1,0,1,141,61,24.333333333333336,2,1.5314789170422551,2,0,1,1,0,1,"[95, 78, 2]",34,((95 - 78) * 2)
517,3,61,31.78574103797697,0,1,0,2,1,2,2,2,0,0,43,2,37.666666666666664,1,1.8920946026904804,2,1,0,0,1,1,"[30, 15, 76]",78,((30 / 15) + 76)
518,3,88,44.0151489073175,1,2,0,3,0,3,2,0,0,0,92,30,13.333333333333336,2,1.8195439355418688,2,1,0,0,1,1,"[8, 96, 54]",66,((96 / 8) + 54)
519,4,92,43.52776891441447,1,2,0,4,0,4,1,1,0,0,195,47,12.0,3,1.6901960800285136,3,1,0,1,1,1,"[94, 4, 96, 50]",49,((4 + (94 * 50)) / 96)
520,4,51,23.371991785040485,0,2,0,3,1,3,0,1,1,1,165,4,29.25,0,1.9731278535996986,3,0,2,1,0,2,"[64, 47, 98, 50]",94,((64 * (50 - 47)) - 98)
521,3,57,32.34707611722168,0,2,0,1,2,1,2,1,0,1,150,59,39.333333333333336,0,1.2041199826559248,2,1,1,0,0,1,"[73, 75, 18]",16,((73 - 75) + 18)
522,3,62,32.036437588054845,1,1,0,1,2,1,2,1,0,1,35,16,42.333333333333336,1,1.9084850188786497,2,1,0,0,1,1,"[3, 48, 65]",81,((48 / 3) + 65)
523,3,47,25.146238950056393,0,1,0,2,1,2,0,1,1,1,96,48,19.333333333333336,0,1.2787536009528289,2,1,1,0,0,1,"[67, 28, 20]",19,(67 - (28 + 20))
524,3,48,25.92939130279254,1,1,0,1,2,1,0,1,2,1,33,12,17.666666666666668,1,1.6334684555795866,2,0,1,1,0,1,"[14, 55, 7]",43,((14 * 7) - 55)
525,4,66,29.949958263743873,1,2,0,4,0,4,4,0,1,0,156,42,16.5,3,1.4771212547196624,3,2,0,0,1,1,"[72, 66, 42, 6]",30,((72 + (66 + 42)) / 6)
526,3,66,34.42867022313428,1,1,0,0,3,0,1,1,1,2,52,26,12.666666666666664,0,1.6532125137753437,2,1,1,0,0,1,"[71, 21, 5]",45,(71 - (21 + 5))
527,4,43,18.246004128758347,0,3,0,3,1,3,2,1,0,1,212,34,16.25,0,1.6901960800285136,3,2,1,0,0,1,"[66, 83, 40, 72]",49,((83 - (66 + 40)) + 72)
528,4,67,29.40521495698793,0,3,0,2,2,2,2,2,0,1,215,69,44.0,1,1.1139433523068367,3,1,1,0,1,2,"[82, 15, 71, 60]",13,(15 - ((82 + 60) / 71))
529,4,46,20.66196183005541,1,0,0,3,1,3,1,0,0,2,112,33,16.75,3,1.1760912590556813,2,1,1,0,1,2,"[48, 2, 34, 43]",15,((48 / 2) + (34 - 43))
530,4,56,25.565275929145248,0,1,0,3,1,3,0,3,2,0,115,56,18.25,2,1.146128035678238,3,1,0,1,1,1,"[20, 25, 70, 14]",14,((70 + (20 * 14)) / 25)
531,3,33,19.05255888325765,2,0,1,1,2,1,0,2,0,2,0,10,32.0,2,1.6812412373755872,2,2,0,0,0,0,"[5, 5, 38]",48,((5 + 5) + 38)
532,3,48,24.68467810876482,0,2,0,0,3,0,1,0,2,1,154,62,41.333333333333336,1,1.1760912590556813,2,1,1,0,0,1,"[77, 29, 63]",15,((29 - 77) + 63)
533,3,53,26.501572280401277,1,1,0,1,2,1,1,0,1,2,6,26,52.66666666666667,0,1.9138138523837167,2,1,1,0,0,1,"[3, 29, 56]",82,((29 - 3) + 56)
534,3,29,15.50268793897798,0,3,0,1,2,1,2,0,1,0,186,24,12.666666666666671,0,1.8692317197309762,2,1,1,0,0,1,"[93, 98, 69]",74,((98 - 93) + 69)
535,4,43,19.80530232033836,2,0,0,3,1,3,1,1,0,1,16,23,49.25,1,1.8512583487190752,2,2,1,0,0,1,"[8, 26, 5, 48]",71,((26 - 8) + (5 + 48))
536,3,24,13.576941236277534,0,0,0,2,1,2,2,0,0,1,95,24,15.666666666666664,1,1.380211241711606,2,0,1,1,0,1,"[47, 48, 24]",24,((48 - 47) * 24)
537,4,75,34.68429039204925,0,2,0,2,2,2,4,0,0,0,165,6,28.5,1,1.968482948553935,2,1,0,0,2,2,"[48, 99, 24, 87]",93,((99 + 87) / (48 / 24))
538,4,62,30.670289641062514,1,3,1,2,2,2,1,0,1,0,123,2,18.0,4,1.8129133566428555,3,2,0,0,1,1,"[1, 62, 62, 63]",65,((1 + (62 / 62)) + 63)
539,3,54,29.143323992525858,2,1,0,0,3,0,1,1,0,0,18,8,25.333333333333332,3,1.6720978579357175,2,1,1,0,0,1,"[9, 55, 1]",47,((55 - 9) + 1)
540,3,47,23.895606290697042,1,1,0,2,1,2,1,0,0,1,56,28,2.0,0,1.3979400086720377,2,1,1,0,0,1,"[22, 6, 53]",25,(53 - (22 + 6))
541,4,68,32.8062494046485,0,2,0,3,1,3,1,0,1,1,164,23,4.75,1,1.7853298350107671,2,2,1,0,0,1,"[82, 43, 16, 84]",61,((43 - 82) + (16 + 84))
542,4,89,42.08226071240311,1,3,0,1,3,1,2,2,0,1,186,13,14.25,2,1.9084850188786497,3,2,1,0,0,1,"[75, 94, 93, 5]",81,((75 + (94 - 93)) + 5)
543,4,62,29.307280096704073,0,2,0,3,1,3,1,3,0,0,160,5,32.75,1,1.9867717342662448,3,2,1,0,0,1,"[92, 50, 30, 85]",97,((92 - (50 + 30)) + 85)
544,4,92,37.588783788075226,1,2,0,3,1,3,1,0,2,0,158,51,4.25,2,1.6720978579357175,3,1,1,0,1,2,"[49, 52, 6, 98]",47,(49 - ((6 + 98) / 52))
545,4,88,40.11130347753195,1,2,0,3,1,3,1,0,2,0,184,47,12.25,2,1.6532125137753437,2,2,1,0,0,1,"[84, 49, 4, 92]",45,((84 + 49) + (4 - 92))
546,4,50,22.30844384233617,0,3,0,2,2,2,1,1,0,2,194,5,20.5,0,1.9637878273455553,3,2,1,0,0,1,"[60, 47, 97, 82]",92,((60 + (47 - 97)) + 82)
547,3,58,29.280255007997,0,2,0,3,0,3,2,1,0,0,144,48,21.333333333333336,0,1.6020599913279625,2,0,0,1,1,1,"[66, 30, 88]",40,((30 / 66) * 88)
548,3,27,13.527749258468683,0,0,0,2,1,2,3,0,0,0,24,12,26.0,1,1.7075701760979363,2,1,1,0,0,1,"[24, 12, 39]",51,((24 - 12) + 39)
549,4,78,36.013886210738214,1,2,0,0,4,0,0,1,0,4,161,54,18.5,0,1.462397997898956,3,0,2,1,0,2,"[71, 31, 83, 5]",29,((5 * (83 - 71)) - 31)
550,4,66,30.081832834231804,1,2,0,3,1,3,1,1,1,1,162,57,32.25,3,1.041392685158225,3,1,1,0,1,2,"[40, 68, 63, 2]",11,((40 + (68 / 2)) - 63)
551,3,26,14.730919862656235,0,1,0,1,2,1,1,0,1,2,134,51,34.0,0,1.2041199826559248,2,1,1,0,0,1,"[42, 67, 41]",16,((42 - 67) + 41)
552,4,40,17.802153427792568,0,1,0,3,1,3,1,1,0,1,131,4,21.25,0,1.8573324964312685,3,1,1,0,1,2,"[50, 36, 41, 76]",72,((36 / (41 - 50)) + 76)
553,3,8,4.041451884327381,0,3,0,1,2,1,1,1,0,0,186,13,8.666666666666671,0,1.9030899869919435,2,1,1,0,0,1,"[88, 85, 93]",80,((88 + 85) - 93)
554,4,31,12.789970028633114,0,3,0,3,1,3,2,2,1,0,190,30,13.75,1,1.6532125137753437,3,1,0,1,1,1,"[60, 44, 56, 75]",45,((60 / (44 + 56)) * 75)
555,4,80,36.97747061838239,1,1,0,2,2,2,0,0,0,2,51,7,48.0,1,1.9084850188786497,2,0,2,1,0,2,"[19, 8, 88, 17]",81,((19 * 8) - (88 - 17))
556,3,29,16.46207763315433,0,2,0,2,1,2,1,1,0,0,72,28,38.0,1,1.968482948553935,2,1,1,0,0,1,"[64, 65, 36]",93,((64 + 65) - 36)
557,4,85,34.895080837657716,1,2,0,2,2,2,2,3,0,1,126,18,22.5,3,1.8573324964312685,2,1,0,1,1,1,"[48, 90, 55, 5]",72,((48 * 90) / (55 + 5))
558,4,45,21.517434791350013,0,3,0,2,2,2,1,0,0,1,212,19,0.5,0,1.845098040014257,3,2,1,0,0,1,"[44, 62, 87, 89]",70,((87 - (44 + 62)) + 89)
559,3,82,42.02776859807493,0,1,0,1,2,1,0,1,0,1,76,25,21.333333333333336,0,1.845098040014257,2,1,1,0,0,1,"[95, 38, 13]",70,((95 - 38) + 13)
560,3,74,37.5410886008029,0,2,0,0,3,0,2,1,0,0,102,26,14.666666666666664,1,1.863322860120456,2,1,1,0,0,1,"[99, 25, 51]",73,((99 + 25) - 51)
561,3,45,22.810816147900834,0,2,0,1,2,1,0,0,0,2,118,16,8.666666666666664,0,1.8573324964312685,2,1,1,0,0,1,"[43, 88, 59]",72,((43 + 88) - 59)
562,3,23,12.741009902410928,2,0,0,2,1,2,2,0,0,0,12,2,12.666666666666666,1,1.3979400086720377,2,1,1,0,0,1,"[6, 4, 27]",25,((4 - 6) + 27)
563,4,45,21.266170318136737,2,0,1,1,3,1,4,1,0,2,55,34,3.25,5,1.146128035678238,3,1,1,0,1,2,"[48, 3, 15, 3]",14,(3 + ((48 - 15) / 3))
564,3,56,28.58904218985542,1,1,0,3,0,3,1,1,0,0,58,32,0.6666666666666679,1,1.4471580313422192,2,0,1,1,0,1,"[60, 4, 22]",28,((4 * 22) - 60)
565,4,78,33.44149119482164,1,2,0,4,0,4,2,0,2,0,109,23,18.5,4,1.7853298350107671,3,2,0,0,1,1,"[28, 6, 84, 52]",61,((6 + (84 / 28)) + 52)
566,3,34,18.823743871327334,2,0,0,2,1,2,0,0,1,1,17,28,49.66666666666667,0,1.8195439355418688,2,1,0,1,0,0,"[7, 4, 38]",66,((7 * 4) + 38)
567,3,62,34.961884007206095,0,1,0,1,2,1,2,1,0,0,138,69,28.666666666666664,0,1.414973347970818,2,1,1,0,0,1,"[33, 95, 36]",26,(95 - (33 + 36))
568,3,19,9.50438495292217,0,3,0,2,1,2,0,2,1,1,140,10,19.33333333333333,1,1.99563519459755,2,1,1,0,0,1,"[89, 80, 70]",99,((89 + 80) - 70)
569,4,56,24.11776661854631,0,3,0,2,2,2,1,1,1,1,228,71,46.5,0,1.146128035678238,2,2,1,0,0,1,"[56, 72, 29, 85]",14,((56 + 72) - (29 + 85))
570,4,45,20.254629100529094,0,3,0,3,1,3,3,3,1,0,157,3,14.75,1,1.8573324964312685,2,1,0,0,2,2,"[70, 75, 30, 54]",72,((70 + 30) / (75 / 54))
571,4,92,43.688289811649376,2,1,0,2,2,2,2,1,0,1,27,2,63.0,1,1.968482948553935,3,1,1,1,0,1,"[95, 6, 16, 3]",93,((95 - (6 * 3)) + 16)
572,4,74,41.032507438208874,2,2,0,4,0,4,1,0,0,1,71,11,47.5,5,1.9395192526186185,3,2,0,0,1,1,"[74, 2, 76, 6]",87,(74 + ((2 + 76) / 6))
573,4,67,30.18829795356693,0,1,0,2,2,2,0,2,0,2,66,10,51.0,2,1.9542425094393248,3,2,1,0,0,1,"[13, 20, 80, 43]",90,((80 - (13 + 20)) + 43)
574,3,60,31.74901573277509,0,1,0,3,0,3,3,0,0,0,72,36,0.0,3,1.5563025007672873,2,0,0,1,1,1,"[24, 12, 72]",36,((12 / 24) * 72)
575,4,96,45.2621990922521,2,1,0,2,2,2,1,1,1,2,71,41,25.0,2,1.7558748556724915,3,1,1,0,1,2,"[98, 3, 2, 25]",57,(25 + ((98 - 2) / 3))
576,4,59,25.31633201446581,1,1,0,3,1,3,2,1,1,0,65,26,9.25,3,1.5314789170422551,3,0,1,0,2,3,"[60, 24, 1, 14]",34,((60 / (24 / 14)) - 1)
577,4,75,36.08323710533743,0,2,0,2,2,2,0,1,0,2,201,67,36.0,0,1.2787536009528289,3,2,0,0,1,1,"[86, 83, 11, 40]",19,((86 + (83 + 40)) / 11)
578,4,77,42.245315322135625,2,2,0,2,2,2,1,0,1,0,97,11,26.0,3,1.8260748027008264,3,0,2,0,1,3,"[8, 78, 77, 1]",67,(78 - (77 / (8 - 1)))
579,4,24,10.472185381603339,2,0,0,2,2,2,1,0,1,1,32,62,75.5,1,1.9542425094393248,3,0,1,1,1,2,"[4, 28, 17, 9]",90,((17 - (28 / 4)) * 9)
580,4,65,29.136174537276965,0,3,0,3,1,3,1,1,0,0,158,6,30.25,0,1.968482948553935,3,0,1,1,1,2,"[22, 87, 80, 62]",93,((87 / (80 - 22)) * 62)
581,3,11,6.350852961085883,0,0,1,1,2,1,1,2,2,0,69,10,6.333333333333332,2,1.3979400086720377,2,1,0,0,1,1,"[35, 35, 24]",25,((35 / 35) + 24)
582,4,64,34.451656950960526,2,2,0,1,3,1,1,3,0,1,121,55,22.75,6,1.0,2,1,1,1,0,1,"[65, 5, 1, 60]",10,((65 + 5) - (1 * 60))
584,4,91,40.55757224818402,1,1,0,1,3,1,2,2,0,0,78,20,36.75,1,1.8750612633917,3,2,1,0,0,1,"[4, 15, 39, 95]",75,((4 + (15 - 39)) + 95)
585,3,81,46.1988455844227,2,1,0,2,1,2,0,0,0,2,4,2,55.33333333333333,1,1.9294189257142929,2,1,1,0,0,1,"[83, 4, 2]",85,((83 + 4) - 2)
586,3,16,8.504900548115382,1,0,0,1,2,1,0,1,1,2,7,24,33.666666666666664,1,1.6720978579357175,2,0,1,1,0,1,"[7, 10, 23]",47,((7 * 10) - 23)
587,3,36,18.147543451754935,0,2,0,3,0,3,0,0,0,0,148,58,38.666666666666664,1,1.2041199826559248,2,1,1,0,0,1,"[38, 52, 74]",16,((38 + 52) - 74)
588,4,15,6.244997998398398,0,0,0,2,2,2,0,0,0,2,108,23,16.5,0,1.146128035678238,2,1,2,0,0,2,"[37, 32, 31, 22]",14,((37 - 32) + (31 - 22))
589,4,42,19.2180470738661,0,3,0,4,0,4,2,1,0,0,261,59,42.0,0,1.4913616938342726,3,0,2,0,1,3,"[48, 90, 86, 68]",31,(48 - (68 / (90 - 86)))
590,4,40,16.36052158907737,0,4,0,0,4,0,1,0,0,3,221,24,3.5,0,1.8388490907372552,3,1,1,0,1,2,"[53, 71, 73, 93]",69,(71 - ((53 + 93) / 73))
591,4,39,16.380883167074153,0,1,0,2,2,2,2,1,0,0,166,53,32.5,0,1.0791812460476249,3,1,0,1,1,1,"[65, 26, 48, 39]",12,((26 / (65 + 39)) * 48)
592,3,58,29.005746557076122,0,2,0,3,0,3,0,0,2,0,82,2,31.333333333333336,1,1.9444826721501687,2,1,0,0,1,1,"[86, 28, 56]",88,(86 + (56 / 28))
593,3,22,11.930353445448855,0,3,0,2,1,2,2,0,0,0,138,3,10.666666666666671,0,1.9294189257142929,2,1,1,0,0,1,"[66, 69, 88]",85,((66 - 69) + 88)
594,3,3,1.5275252316519465,3,0,0,1,2,1,0,1,1,2,3,6,7.666666666666667,0,1.1139433523068367,2,0,1,1,0,1,"[7, 4, 5]",13,((4 * 5) - 7)
595,3,73,41.86088070422472,2,1,0,1,2,1,1,0,1,2,0,13,61.33333333333333,0,1.9637878273455553,2,2,0,0,0,0,"[6, 79, 7]",92,((6 + 79) + 7)
596,4,7,3.304037933599835,3,0,1,1,3,1,1,0,3,2,24,47,51.75,3,1.7853298350107671,2,0,1,1,1,2,"[7, 9, 7, 14]",61,((7 * 9) - (14 / 7))
597,4,66,31.464265445104548,0,1,0,2,2,2,1,0,2,1,84,41,6.0,1,1.5563025007672873,2,0,0,2,1,1,"[77, 11, 18, 14]",36,((11 / 77) * (18 * 14))
598,4,88,40.90130397269342,0,2,0,3,1,3,1,1,1,1,190,85,37.75,0,1.1139433523068367,3,2,1,0,0,1,"[71, 98, 24, 10]",13,((98 - (71 + 24)) + 10)
599,3,42,21.197484127446195,0,3,0,0,3,0,0,1,0,2,158,26,6.666666666666671,0,1.8388490907372552,2,1,1,0,0,1,"[79, 53, 95]",69,((53 - 79) + 95)
600,3,25,12.529964086141668,0,2,0,2,1,2,1,1,1,0,98,11,24.0,0,1.9294189257142929,2,1,1,0,0,1,"[49, 74, 60]",85,((74 - 49) + 60)
601,4,73,37.588783788075226,1,2,0,3,1,3,1,1,1,0,69,11,48.75,1,1.9444826721501687,3,0,1,0,2,3,"[66, 4, 10, 77]",88,((66 / (4 / 10)) - 77)
602,3,34,18.823743871327334,0,0,0,2,1,2,0,1,0,1,26,3,18.666666666666668,0,1.6127838567197355,2,1,1,0,0,1,"[44, 10, 13]",41,((44 + 10) - 13)
603,4,39,16.54287359157008,1,0,0,2,2,2,1,0,0,2,39,12,31.5,0,1.7403626894942439,2,1,1,1,0,1,"[43, 4, 18, 29]",55,((4 * 29) - (43 + 18))
604,4,56,25.395209522007622,0,3,0,3,1,3,1,0,1,0,184,15,4.25,0,1.8260748027008264,3,2,1,0,0,1,"[26, 66, 82, 77]",67,((82 - (26 + 66)) + 77)
605,4,90,37.0854868288571,1,2,0,2,2,2,2,1,1,2,194,79,35.0,0,1.255272505103306,2,2,1,0,0,1,"[7, 60, 48, 97]",18,((7 + 60) + (48 - 97))
606,4,30,13.12757911167681,2,0,0,2,2,2,2,0,0,1,26,7,11.5,4,1.380211241711606,3,2,1,0,0,1,"[1, 12, 31, 6]",24,((31 - (1 + 12)) + 6)
607,4,84,40.10403138505321,1,3,0,2,2,2,2,1,0,0,158,8,32.5,1,1.9822712330395684,2,2,1,0,0,1,"[88, 87, 75, 4]",96,((88 + 87) - (75 + 4))
608,4,90,37.446628686705566,1,1,0,3,1,3,1,1,0,1,90,11,38.25,2,1.9084850188786497,2,2,1,0,0,1,"[45, 2, 32, 92]",81,((2 - 45) + (32 + 92))
609,4,39,17.55704986607944,2,0,0,3,1,3,0,0,0,1,10,18,43.25,4,1.7853298350107671,2,2,0,0,1,1,"[16, 43, 8, 4]",61,((16 + 43) + (8 / 4))
610,3,20,11.269427669584644,0,3,0,1,2,1,1,1,0,1,160,19,12.0,0,1.792391689498254,2,1,1,0,0,1,"[80, 81, 61]",62,((81 - 80) + 61)
611,3,61,34.38507428134093,0,2,0,1,2,1,2,0,1,1,119,15,6.333333333333336,0,1.8388490907372552,2,0,1,1,0,1,"[81, 23, 84]",69,(23 * (84 - 81))
612,4,32,17.63282923034947,0,2,0,3,1,3,1,2,1,0,138,9,24.75,1,1.8976270912904414,2,2,1,0,0,1,"[38, 69, 40, 70]",79,((38 - 69) + (40 + 70))
613,4,54,24.01908963026423,0,1,0,3,1,3,1,2,0,1,62,19,54.25,1,1.968482948553935,2,2,1,0,0,1,"[20, 31, 74, 30]",93,((20 - 31) + (74 + 30))
614,3,67,36.59234892706397,0,2,0,1,2,1,1,0,1,0,182,59,34.0,1,1.6020599913279625,2,1,1,0,0,1,"[32, 99, 91]",40,((32 + 99) - 91)
615,4,75,31.52776554086889,1,3,0,2,2,2,1,1,0,1,110,3,34.0,0,1.9138138523837167,2,2,1,0,0,1,"[79, 4, 54, 55]",82,((79 + 4) + (54 - 55))
616,3,38,21.656407827707714,0,2,0,1,2,1,1,1,0,2,46,37,50.0,0,1.9912260756924949,2,1,1,0,0,1,"[60, 61, 23]",98,((60 + 61) - 23)
617,3,45,24.214320831552005,0,1,0,1,2,1,2,1,1,0,86,43,15.333333333333336,0,1.3010299956639813,2,1,1,0,0,1,"[25, 63, 18]",20,(63 - (25 + 18))
618,3,33,16.522711641858304,0,1,0,2,1,2,0,2,1,0,70,15,32.0,0,1.919078092376074,2,1,1,0,0,1,"[50, 35, 68]",83,((50 - 35) + 68)
619,4,49,21.299452262127932,0,3,0,2,2,2,1,0,2,0,227,51,21.5,1,1.6720978579357175,3,0,2,0,1,3,"[49, 58, 98, 69]",47,(49 - (58 / (98 - 69)))
620,3,58,32.39341496868358,0,2,0,0,3,0,2,1,0,0,111,3,17.66666666666667,1,1.9138138523837167,2,0,1,0,1,2,"[27, 85, 81]",82,(85 - (81 / 27))
621,4,96,42.50784241368488,1,3,0,1,3,1,2,1,0,2,175,13,20.75,1,1.9344984512435677,3,2,0,0,1,1,"[3, 79, 80, 99]",86,((79 + (80 + 99)) / 3)
622,3,32,16.165807537309522,0,2,0,0,3,0,2,1,1,1,126,20,5.333333333333336,0,1.7403626894942439,2,1,1,0,0,1,"[63, 43, 75]",55,((43 - 63) + 75)
623,3,32,17.925772879665004,0,3,0,3,0,3,1,1,0,0,184,62,41.33333333333333,0,1.4771212547196624,2,1,1,0,0,1,"[62, 60, 92]",30,((62 + 60) - 92)
624,4,56,23.122860261366167,1,1,0,0,4,0,1,0,0,2,62,7,22.0,4,1.6989700043360187,2,2,1,0,0,1,"[23, 1, 57, 31]",50,((23 + 1) + (57 - 31))
625,3,39,21.702534414210707,1,0,0,2,1,2,0,0,0,1,0,52,66.0,0,1.99563519459755,2,2,0,0,0,0,"[8, 47, 44]",99,((8 + 47) + 44)
626,3,64,32.083225108042576,0,2,0,3,0,3,2,0,0,0,69,3,33.666666666666664,2,1.9294189257142929,2,1,0,0,1,1,"[82, 54, 18]",85,(82 + (54 / 18))
627,4,72,32.89756829919196,1,1,0,3,1,3,4,1,0,0,96,27,14.25,2,1.7075701760979363,2,2,1,0,0,1,"[78, 48, 6, 15]",51,((78 - 48) + (6 + 15))
628,3,47,24.13158373031769,1,0,0,2,1,2,0,0,1,1,10,8,34.66666666666667,1,1.7558748556724915,2,1,0,0,1,1,"[49, 2, 16]",57,(49 + (16 / 2))
629,4,88,35.984950558068945,1,3,0,3,1,3,2,0,0,1,175,62,19.75,3,1.505149978319906,3,1,1,0,1,2,"[94, 54, 6, 53]",32,(94 - ((54 / 6) + 53))
630,4,55,26.242459234352765,0,3,0,2,2,2,2,1,0,1,201,46,30.0,2,1.4313637641589874,3,1,1,0,1,2,"[18, 72, 73, 65]",27,(18 + (72 / (73 - 65)))
631,4,41,18.31210892642716,1,0,0,2,2,2,0,1,0,2,59,6,22.0,2,1.6901960800285136,2,1,1,0,1,2,"[43, 25, 2, 38]",49,((43 + 25) - (38 / 2))
632,3,62,32.34707611722168,1,1,0,1,2,1,2,0,1,0,97,48,22.333333333333336,2,1.1760912590556813,2,0,1,1,0,1,"[1, 63, 48]",15,((1 * 63) - 48)
633,4,47,22.28601953392904,0,1,0,2,2,2,1,1,0,1,153,50,21.0,1,1.3617278360175928,3,0,2,1,0,2,"[73, 27, 50, 26]",23,(73 - ((27 - 26) * 50))
634,4,55,25.31633201446581,0,1,0,3,1,3,2,0,1,0,88,1,35.75,2,1.8864907251724818,2,2,1,0,0,1,"[76, 44, 24, 21]",77,((76 - 44) + (24 + 21))
635,4,85,43.289721643826724,1,2,0,2,2,2,3,1,1,0,152,59,14.0,1,1.505149978319906,2,0,1,0,2,3,"[91, 6, 12, 75]",32,((91 - 75) / (6 / 12))
636,3,53,26.627053911388696,0,1,0,2,1,2,1,0,1,1,22,31,56.0,0,1.9777236052888478,2,1,1,0,0,1,"[11, 42, 64]",95,((42 - 11) + 64)
637,3,34,17.03917055884274,0,1,0,1,2,1,2,0,0,1,66,15,32.666666666666664,1,1.9138138523837167,2,1,1,0,0,1,"[33, 48, 67]",82,((48 - 33) + 67)
638,4,94,50.39179827445468,1,2,0,2,2,2,0,0,2,1,188,82,35.0,0,1.2041199826559248,3,1,1,1,0,1,"[98, 4, 11, 91]",16,(4 * ((11 - 98) + 91))
639,3,94,51.86842327788009,1,1,0,1,2,1,0,2,0,0,20,9,50.666666666666664,2,1.9344984512435677,2,1,1,0,0,1,"[10, 1, 95]",86,((1 - 10) + 95)
640,4,82,37.9418414594407,0,3,0,1,3,1,0,1,0,2,184,30,2.75,1,1.8129133566428555,3,0,1,1,1,2,"[89, 95, 52, 13]",65,((95 / (89 - 13)) * 52)
641,3,53,30.599564267050166,0,2,1,2,1,2,2,0,0,1,133,54,36.333333333333336,1,1.0791812460476249,2,0,1,0,1,2,"[66, 66, 13]",12,(13 - (66 / 66))
642,3,22,11.015141094572204,0,3,0,0,3,0,1,0,1,1,198,32,21.33333333333333,0,1.8260748027008264,2,1,1,0,0,1,"[99, 89, 77]",67,((89 - 99) + 77)
643,4,46,24.91318258807306,0,2,0,2,2,2,1,0,0,2,121,32,10.0,0,1.4313637641589874,3,2,0,0,1,1,"[13, 18, 58, 59]",27,(18 + ((58 + 59) / 13))
644,3,49,26.28687885618983,0,2,0,2,1,2,1,1,2,0,152,41,22.0,1,1.6334684555795866,2,1,1,0,0,1,"[35, 84, 76]",43,((35 + 84) - 76)
645,4,68,31.826351764955195,0,3,0,1,3,1,2,0,1,1,173,5,18.25,1,1.9138138523837167,2,1,1,1,0,1,"[87, 19, 86, 63]",82,((87 - 86) * (19 + 63))
646,4,97,41.80410665632425,1,3,0,1,3,1,2,0,1,1,154,6,31.25,0,1.968482948553935,2,2,1,0,0,1,"[69, 2, 99, 77]",93,((69 + 2) + (99 - 77))
647,4,36,16.760568804985905,0,4,0,1,3,1,2,0,2,0,280,76,52.75,1,1.3617278360175928,3,2,1,0,0,1,"[77, 63, 64, 99]",23,((64 - (77 + 63)) + 99)
648,4,62,26.19160170741759,0,2,0,2,2,2,3,1,0,0,113,1,28.0,0,1.8750612633917,3,1,1,0,1,2,"[45, 57, 74, 12]",75,((45 / (57 - 12)) + 74)
649,3,18,9.073771725877467,0,3,0,2,1,2,0,0,0,1,172,25,16.66666666666667,0,1.7853298350107671,2,1,1,0,0,1,"[79, 86, 68]",61,((79 - 86) + 68)
650,4,81,36.854443422740765,1,3,0,3,1,3,0,0,1,1,177,30,0.75,2,1.7634279935629373,3,1,1,1,0,1,"[88, 58, 7, 82]",58,(58 * ((7 - 88) + 82))
651,4,38,17.68945071692919,0,3,0,3,1,3,1,1,1,0,138,21,33.75,1,1.9590413923210936,2,2,1,0,0,1,"[69, 70, 58, 32]",91,((70 - 69) + (58 + 32))
652,3,66,34.597687784012386,1,2,0,1,2,1,3,2,0,0,129,60,33.0,0,1.1760912590556813,2,1,0,0,1,1,"[9, 60, 75]",15,((60 + 75) / 9)
653,3,33,17.3877351409933,1,0,0,2,1,2,2,0,1,0,32,7,12.666666666666668,0,1.5440680443502757,2,1,1,0,0,1,"[9, 42, 16]",35,((9 + 42) - 16)
